Category,Type,Trans/Drive,Aircon/Fuel
M – Mini,B – 2-3 Door,M – Manual Unspecified Drive,R – Unspecified Fuel/Power With Air (North American use)
N – Mini Elite,C – 2/4 Door,N – Manual 4WD,N – Unspecified Fuel/Power Without Air (North American use)
E – Economy,D – 4-5 Door,C – Manual AWD,D – Diesel Air
H – Economy Elite,W – Wagon/Estate,A – Auto Unspecified Drive,Q – Diesel No Air
C – Compact,V – Passenger Van,B – Auto 4WD,H – Hybrid Air
D – Compact Elite,L – Limousine,D – Auto AWD,I – Hybrid No Air
I – Intermediate,S – Sport,,E – Electric Air
J – Intermediate Elite,T – Convertible,,C – Electric No Air
S – Standard,F – SUV,,L – LPG/Compressed Gas Air
R – Standard Elite,J – Open Air All Terrain,,S – LPG/Compressed Gas No Air
F – Fullsize,X – Special,,A – Hydrogen Air
G – Fullsize Elite,P – Pick up Regular Cab,,B – Hydrogen No Air
P – Premium,Q – Pick up Extended Cab,,M – Multi Fuel/Power Air
U – Premium Elite,Z – Special Offer Car,,F – Multi Fuel/Power No Air
L – Luxury,E – Coupe,,V – Petrol Air (European use)
W – Luxury Elite,M – Monospace (European use),,Z – Petrol No Air (European use)
O – Oversize,H – Motor Home,,U – Ethanol Air
X – Special,Y – 2 Wheel Vehicle,,X – Ethanol No Air
           ,N – Roadster,,	